name,nic,phone,division
Wanindu Fonseka,199716113557,0756402125,Batakaduwa West 53/B
Priyantha Dickwella,196959749906,0767777001,Waligoda Ihala 870/A
Nuwan Udana,196346256641,0718229289,Galhena East 439
Lasantha Mendis,516613166V,0785989917,Galewela Central 911/A
Suranga Chameera,403128333V,0749072602,Galkumbura South 792/C
Nalin Mendis,196061084673,0758443253,Porativu Ihala 434
Kamal Kumaratunga,999086872V,0786127798,Pallegamuwa 25/A
Sujith Perera,198614304733,0701808955,Attanagalla South 639/A
Angelo Hasaranga,197819266054,0742280326,Eppawala Central 417/B
Dilshan Samarawickrama,195389988929,0765619311,Walipitiya West 85/C
Sanath Muralitharan,197347690697,0717331247,Thalakaduwa Ihala 628/C
Ajith de Silva,299734842V,0701919780,Musali West 36/A
Heshan Wellalage,195486538662,0702622442,Maha Oya Ihala
Krishantha Asalanka,196690984704,0768890934,Mahara North 248
Malith Samarawickrama,809192926V,0757509142,Galle Central 795/C
Thushara Thirimanne,633720892V,0708654886,Batugala Pahala
Pubudu Premadasa,198323081240,0724500557,Digagedara
Vimal Premadasa,196962264032,0719242343,Anuradhapura 55/B
Sanka Malinga,442208949V,0771898944,Eravur North
Ruwan Senanayake,199896709423,0767884872,Kudagamuwa 832/B
Kumara Gunaratne,607156297V,0772202068,Pottuvil East 498
Bhanuka Hasaranga,730770518V,0773762491,Vavuniya South South 579
Indika Madushanka,199144271634,0711991146,Galnewa Pahala 185/C
Manjula Shanaka,197491545697,0729911128,Elahera East
Darshana Herath,875344796V,0707433081,Kalutara Pahala 875/A
Prasanna Hasaranga,505947374V,0745553250,Galigamuwa North 26/C
Prasanna Rajapaksa,423708851V,0788396509,Kalpitiya East 991/A
Heshan Chameera,199113533939,0755217507,Batugala North 806/B
Maheesh Jayawickrama,200020375442,0725273682,Nawalagala 571/B
Chaminda Perera,382044511V,0766136661,Ginioya Central 975/C
Gayan Wellalage,977954558V,0741704868,Udaoya Central 865/A
Nalin Herath,199997043164,0701595067,Batakanda South
Bhanuka Wickremesinghe,258294477V,0786054550,Sudukaduwa North
Dilshan Samarawickrama,196412545048,0749468714,Akuressa Pahala 61/A
Dasun Fonseka,197612115978,0714324167,Waligoda South 765
Kavindu Premadasa,200472177270,0714272739,Welimada East 528/C
Asanka Muralitharan,844422162V,0719929483,Yatawatta Ihala 467
Janaka Herath,755161258V,0758903105,Horana Central 159/C
Chamika Rajitha,197142385248,0742342283,Nattandiya Ihala 292/B
Gayan Theekshana,199913813850,0716870038,Soranathota South
Samantha Embuldeniya,927658157V,0777278424,Gomarankadawala 105/C
Sandun Lakmal,268869502V,0742996734,Kandaketiya 948
Sameera Jayasuriya,938828932V,0747221093,Hinguradeniya Pahala 71/A
Rumesh Mathews,984230379V,0782149318,Nintavur 68
Priyantha Rajapaksa,199320376787,0712631350,Dehiwala South 625/A
Charith Asalanka,199448327657,0773007992,Addalachchenai Pahala 574
Kasun Jayawardena,198285758809,0778845977,Digaoya Ihala
Janaka Gunaratne,198294431778,0709976393,Ukuwela South 376/C
Charith de Silva,205155492V,0777023848,Thalagama West 496/B
Amal Shanaka,195137324894,0752084366,Opanayaka East 455
Pradeep Dissanayake,198132420030,0707178741,Karandeniya West 652/B
Chamara Dickwella,199776689398,0778659545,Kuruvita
Chamara Dickwella,198442123161,0787979435,Ambanganga Central 902
Heshan de Silva,195149467476,0713398486,Kudadeniya Ihala 712/A
Kumar Gunawardena,196598843142,0771157934,Medaoya Ihala
Darshana Jayasuriya,198876937095,0789531856,Pelmadulla Ihala 928/A
Asela Rajapaksa,197075584232,0729056135,Kayts Pahala
Gayan Hasaranga,148080901V,0775073647,Kuchchaveli 365
Mangala Gunaratne,155871677V,0767897416,Hanguranketha East 116/C
Charith Mendis,198476091456,0777256962,Ihalagamuwa East 408/B
Sanjeewa Asalanka,715821234V,0763609030,Hikkaduwa South
Kapila Jayawickrama,350895245V,0788661813,Galgedara West 439/B
Chinthaka Gunaratne,732257892V,0718966040,Balangoda Ihala 399
Amal Bandara,244213857V,0714872606,Medakanda Ihala
Nuwan Vandersay,874828107V,0704787684,Lahugala Central
Pradeep Lakmal,818657460V,0785338101,Angunakolapelessa 570/C
Chamara Bandaranaike,406727615V,0771794517,Eppawala Ihala 129
Samantha Herath,197686472741,0741656842,Digadeniya Central 444/C
Tharindu Embuldeniya,487141421V,0782557885,Nawalagama West 476
Niroshan Vandersay,195077676659,0754764681,Kaluoya South 195
Mahela Bandara,197089672915,0787188982,Palindanuwara North 712/A
Nuwan Fonseka,702723611V,0749186793,Sudukaduwa West
Manjula Premadasa,199157809561,0759726827,Lunugala South
Sunimal Atapattu,827298113V,0746612108,Matale South 787
Sandun Herath,196390490575,0744937737,Hingurapura North
Isuru Rajitha,196639584245,0748004026,Giniwela Central
Amila Mendis,196567294257,0749518289,Ratugedara West 749
Dasun Embuldeniya,199181567696,0761103896,Wellawaya Central 34/B
Dilan Embuldeniya,773661774V,0727977080,Akuressa 333
Nuwan Bandaranaike,198841217410,0724226840,Minuwangoda Ihala
Charith Jayasuriya,197432940374,0745138688,Matugama Central 297/B
Dilan Bandara,195355364777,0717648807,Lahugala Central 604/C
Dushmantha Sirisena,827934467V,0787996431,Niyagama North
Lasantha Shanaka,173178873V,0751354969,Digagamuwa Ihala 963/C
Kumara Fernando,306135420V,0725173402,Hinguragala East 117
Ajith Kumaratunga,198247049154,0705641933,Ratukanda 396/C
Darshana Fernando,926443726V,0706069076,Ginioya West 13/B
Tharindu Nissanka,517146574V,0777067361,Rukkaduwa North 647/A
Lahiru Madushanka,196590569031,0774459049,Batapitiya South 666/B
Thilak Mathews,199813955129,0755956679,Sududeniya Ihala 257
Wasantha Chameera,638495775V,0779155312,Udakaduwa Central
Amila Rajapaksa,555151239V,0769277117,Digagoda East 777/C
Kavindu Kumaratunga,309218789V,0789119212,Ratugamuwa Ihala 209/B
Chathura Fernando,197666810077,0707123769,Elpitiya Pahala 289/C
Amal Jayasuriya,879221656V,0701956900,Batticaloa Pahala 255/C
Lahiru Jayawickrama,195113249495,0772731219,Thamankaduwa West
Mangala Dissanayake,827331682V,0713538398,Rukdeniya Pahala 494/A
Chandana Madushanka,678532957V,0759515185,Karuwalagaswewa 777/A
Chamara Senanayake,595699262V,0788735847,Kuliyapitiya North 746/C
Dinesh Dissanayake,232166151V,0753969695,Kurunegala West 588/A
Dushmantha Hasaranga,196412712933,0721045626,Paranamulla 398/C
Ruwan Jayawickrama,763618089V,0708539531,Udamulla Central 166/C
Dilshan Fernando,199895868120,0741883583,Pahaladeniya Central 45/B
Danushka Rajitha,196044149279,0789003356,Kudatota 356/B
Malith Asalanka,197972434960,0769407193,Paranagamuwa Central 782
Sanjeewa Premadasa,195999068939,0711811603,Kalpitiya South 347
Charith Gunawardena,196267995963,0744920435,Nawalagamuwa Central 83
Samantha Mathews,200075342400,0755715911,Lunugamvehera South 972/B
Sandun Thirimanne,462842949V,0775539744,Ratugama Central 691
Chaminda Asalanka,199525594806,0755787025,Nawalawatta 941/C
Ruwan Gunawardena,117795728V,0703788133,Pahalapura Ihala 722/A
Bhanuka Muralitharan,748273909V,0724321525,Hinguragama North 336/C
Dimuth Bandaranaike,504281279V,0702528963,Yatinuwara 881/B
Sampath Mendis,760082517V,0716116255,Vavuniya Central
Gayan Malinga,449973011V,0724402099,Rukwatta Central 958/C
Anil Gunaratne,590530853V,0769943860,Maha Oya South 965/C
Darshana Fernando,301320666V,0719576488,Waligamuwa West 56/C
Susil Chameera,743796014V,0744449744,Pallegama Pahala
Mahela Jayasuriya,199247849296,0777045920,Karaveddy Ihala 714/C
Gayan Kumaratunga,196952638503,0709658040,Nuwara Eliya Pahala 720/C
Nipun Shanaka,533010152V,0707124519,Kudatota Central 254
Susantha Jayawardena,422061168V,0753233431,Nawalamulla West 540/B
Sameera Asalanka,195537008680,0745230356,Nallur East 274
Kumar Asalanka,633450408V,0748243699,Nawalapura North 236/C
Thilak Herath,196118382629,0753618392,Batakumbura North 850/A
Maheesh Malinga,206151015V,0756256995,Kudaoya South 822/B
Sudeepa Asalanka,198180197573,0775536020,Thunukkai South 299
Pathum Atapattu,451955874V,0789992334,Malimbada North 256/B
Mahela Fonseka,197813396511,0714475298,Digakanda Ihala 521
Pathum Gunaratne,749911777V,0786764839,Harispattuwa Central 840
Sujith Senanayake,195446596709,0779240696,Paranawela West 764/C
Angelo Nissanka,993452582V,0728381400,Hinguragamuwa Ihala 47/C
Thilak Bandaranaike,493034697V,0766947962,Digagamuwa West 845
Sanjeewa Kumaratunga,617695672V,0787786899,Nintavur Pahala 191/C
Nimal Asalanka,198562886148,0754880102,Karandeniya West
Pradeep Hasaranga,687183308V,0708238291,Walihena North 685
Priyantha Nissanka,198750338380,0711422382,Kurunegala North 693/A
Lasantha Atapattu,197258489980,0759577841,Thalakumbura Ihala 464
Gayan Mendis,199269382742,0727512566,Ihalagedara Ihala 625/C
Priyantha Rajapaksa,198680354446,0754049484,Laggala East 664/C
Bimal Mathews,827768050V,0701496247,Navagattegama Pahala 421/C
Pathum Jayawickrama,197071325481,0711383359,Kekirawa Ihala 111/B
Sanath Sirisena,408455824V,0745309903,Medagama 911/C
Prasanna Mendis,967023750V,0756006945,Nikaweratiya Pahala 450/C
Sunimal Mendis,199665507458,0775971646,Dodangoda Ihala 143
Gayan Samarawickrama,617873025V,0776171393,Kudakumbura West 5/A
Sandun Sirisena,191563423V,0763963576,Seruvila Pahala 796/B
Chamika Lakmal,200051743801,0706866951,Galgamuwa Pahala 991
Kavindu Chandimal,309885591V,0712473061,Digamulla West 449/B
Prasanna Sirisena,767162583V,0774396601,Paranakumbura North 398/A
Kavindu Chandimal,197632213537,0768596290,Batakumbura North
Sampath Bandaranaike,199674743759,0743946446,Ihalapura East 85
Samantha Sirisena,182090238V,0711423734,Galnewa Ihala 250
Tharindu Mathews,198238311375,0725928198,Point Pedro North 816/A
Bimal Thirimanne,450447081V,0772441985,Neluwa North 142/B
